resp_id,usid,fixed_set,periodic_set,military_region,province,district,village,hamlet,year,month,resp_num,sex,sex_num,security_score,security_num,question_num,response_code,blacklisted,age_num,mar_num,eth_num
101031601_711003,101031601,711003MA0,0002A,1,01,03,16,01,71,10,03,M,0,A,0,0002,A,0,20,0,1
101031601_711004,101031601,711004MA0,0002A,1,01,03,16,01,71,10,04,M,0,A,0,0002,A,0,20,0,1
101031601_711005,101031601,711005FA0,0002A,1,01,03,16,01,71,10,05,F,1,A,0,0002,A,0,20,0,1
101031701_720301,101031701,720301MA0,0002A,1,01,03,17,01,72,03,01,M,0,A,0,0002,A,0,20,0,1
101031701_720302,101031701,720302FA0,0002A,1,01,03,17,01,72,03,02,F,1,A,0,0002,A,0,20,0,1
101031701_720303,101031701,720303FA0,0002A,1,01,03,17,01,72,03,03,F,1,A,0,0002,A,0,20,1,1
101031701_720304,101031701,720304FA0,0002A,1,01,03,17,01,72,03,04,F,1,A,0,0002,A,0,20,0,1
101031701_720305,101031701,720305MA0,0002A,1,01,03,17,01,72,03,05,M,0,A,0,0002,A,0,20,1,1
101031704_720301,101031704,720301FA0,0002A,1,01,03,17,04,72,03,01,F,1,A,0,0002,A,0,20,0,1
101031704_720302,101031704,720302FA0,0002A,1,01,03,17,04,72,03,02,F,1,A,0,0002,A,0,20,0,1
101031704_720303,101031704,720303FA0,0002A,1,01,03,17,04,72,03,03,F,1,A,0,0002,A,0,20,2,1
101031704_720304,101031704,720304MA0,0002A,1,01,03,17,04,72,03,04,M,0,A,0,0002,A,0,20,0,1
101031704_720305,101031704,720305FA0,0002A,1,01,03,17,04,72,03,05,F,1,A,0,0002,A,0,20,2,1
101040142_710301,101040142,710301MC0,0002C,1,01,04,01,42,71,03,01,M,0,C,2,0002,C,1,50,0,5
101040142_710302,101040142,710302MC0,0002C,1,01,04,01,42,71,03,02,M,0,C,2,0002,C,1,50,0,5
101040142_710303,101040142,710303FC0,0002C,1,01,04,01,42,71,03,03,F,1,C,2,0002,C,1,50,0,5
101040142_710304,101040142,710304FC0,0002C,1,01,04,01,42,71,03,04,F,1,C,2,0002,C,1,50,0,5
101040142_710305,101040142,710305FC0,0002C,1,01,04,01,42,71,03,05,F,1,C,2,0002,C,1,50,0,5
101040501_711101,101040501,711101MB0,0002B,1,01,04,05,01,71,11,01,M,0,B,1,0002,B,0,30,0,1
101040501_711102,101040501,711102MB0,0002B,1,01,04,05,01,71,11,02,M,0,B,1,0002,B,0,30,0,1
101040501_711103,101040501,711103MB0,0002B,1,01,04,05,01,71,11,03,M,0,B,1,0002,B,0,30,0,1
101040501_711104,101040501,711104FB0,0002B,1,01,04,05,01,71,11,04,F,1,B,1,0002,B,0,30,0,1
101040501_711105,101040501,711105MB0,0002B,1,01,04,05,01,71,11,05,M,0,B,1,0002,B,0,30,1,1
101040505_711101,101040505,711101MB0,0002B,1,01,04,05,05,71,11,01,M,0,B,1,0002,B,0,30,0,1
101040505_711102,101040505,711102MB0,0002B,1,01,04,05,05,71,11,02,M,0,B,1,0002,B,0,30,0,1
101040505_711103,101040505,711103FB0,0002B,1,01,04,05,05,71,11,03,F,1,B,1,0002,B,0,30,0,1
101040505_711104,101040505,711104FB0,0002B,1,01,04,05,05,71,11,04,F,1,B,1,0002,B,0,30,0,1
101040505_711105,101040505,711105FB0,0002B,1,01,04,05,05,71,11,05,F,1,B,1,0002,B,0,30,1,1
101040508_711101,101040508,711101MB0,0002B,1,01,04,05,08,71,11,01,M,0,B,1,0002,B,0,30,0,1
101040508_711102,101040508,711102FB0,0002B,1,01,04,05,08,71,11,02,F,1,B,1,0002,B,0,30,0,1
101040508_711103,101040508,711103FB0,0002B,1,01,04,05,08,71,11,03,F,1,B,1,0002,B,0,30,2,1
101040508_711104,101040508,711104MB0,0002B,1,01,04,05,08,71,11,04,M,0,B,1,0002,B,0,30,0,1
101040508_711105,101040508,711105MB0,0002B,1,01,04,05,08,71,11,05,M,0,B,1,0002,B,0,30,0,1
101040510_710601,101040510,710601FC0,0002C,1,01,04,05,10,71,06,01,F,1,C,2,0002,C,0,50,0,1
101040510_710602,101040510,710602MC0,0002C,1,01,04,05,10,71,06,02,M,0,C,2,0002,C,0,50,0,1
101040510_710603,101040510,710603FC0,0002C,1,01,04,05,10,71,06,03,F,1,C,2,0002,C,0,50,0,1
