resp_id,urban_rural,region,ethnicity,vote
GHA0837,Urban,Central,Akan,New Patriotic Party (NPP)
GHA0838,Urban,Central,Akan,New Patriotic Party (NPP)
GHA0839,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0840,Urban,Ashanti,Akan,National Democratic Congress (NDC)
GHA0841,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0842,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0843,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0850,Rural,Western,Akan,New Patriotic Party (NPP)
GHA0853,Rural,Western,Akan,National Democratic Congress (NDC)
GHA0856,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0857,Rural,Western North,Akan,National Democratic Congress (NDC)
GHA0862,Urban,Eastern,Akan,New Patriotic Party (NPP)
GHA0866,Urban,Central,Akan,National Democratic Congress (NDC)
GHA0867,Urban,Central,Akan,National Democratic Congress (NDC)
GHA0871,Urban,Eastern,Akan,New Patriotic Party (NPP)
GHA0873,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0879,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0880,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0883,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0885,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0888,Urban,Central,Akan,New Patriotic Party (NPP)
GHA0894,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0903,Urban,Eastern,Akan,National Democratic Congress (NDC)
GHA0906,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0907,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0913,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0920,Rural,Western North,Ewe_Ga,National Democratic Congress (NDC)
GHA0927,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0931,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0942,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0945,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0951,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA0954,Urban,Ashanti,Akan,National Democratic Congress (NDC)
GHA0955,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0957,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0958,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA0962,Urban,Central,Akan,National Democratic Congress (NDC)
GHA0964,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0965,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0968,Urban,Central,Akan,National Democratic Congress (NDC)
GHA0980,Urban,Eastern,Akan,National Democratic Congress (NDC)
GHA0984,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0986,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0987,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA0989,Urban,Western,Akan,National Democratic Congress (NDC)
GHA0991,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0994,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0995,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0996,Rural,Ashanti,Ewe_Ga,National Democratic Congress (NDC)
GHA0998,Urban,Central,Akan,National Democratic Congress (NDC)
