id8102,year,poor_support,mid_support,rich_support,question_text,policy_change
261,1983,0.4997273087501526,0.5248397588729858,0.5974770784378052,"Recently, a special National Commission on Social Security Reform made a series of recommendations for changes in Social Security in order to put that system on a healthier financial basis. Let me ask you about some of the major recommendations that were made and that Congress is now considering. Do you favor or oppose (READ EACH ITEM)? Item: Prohibiting state and local government employees who are now in the Social Security system from withdrawing from Social Security which they have been able to do in the past",1
262,1983,0.7437025308609009,0.7871477007865906,0.7218872308731079,"Recently, a special National Commission on Social Security Reform made a series of recommendations for changes in Social Security in order to put that system on a healthier financial basis. Let me ask you about some of the major recommendations that were made and that Congress is now considering. Do you favor or oppose (READ EACH ITEM)? Item: Changing the system so that all new federal employees and all employees of nonprofit organizations would be covered by Social Security and would pay Social Security taxes",1
263,1983,0.4132766723632812,0.4616218209266662,0.4610920548439026,"Recently, a special National Commission on Social Security Reform made a series of recommendations for changes in Social Security in order to put that system on a healthier financial basis. Let me ask you about some of the major recommendations that were made and that Congress is now considering. Do you favor or oppose (READ EACH ITEM)? Item: Moving up the increase in Social Security payroll taxes due to start in 1985 to begin earlier in 1984",1
264,1983,0.3368663787841797,0.4430972933769226,0.5039768815040588,"Recently, a special National Commission on Social Security Reform made a series of recommendations for changes in Social Security in order to put that system on a healthier financial basis. Let me ask you about some of the major recommendations that were made and that Congress is now considering. Do you favor or oppose (READ EACH ITEM)? Item: Delaying payment of the next cost-of-living adjustment for those now on Social Security from this July to January of next year",1
266,1983,0.6508408784866333,0.7116916179656982,0.7073949575424194,"Recently, a special National Commission on Social Security Reform made a series of recommendations for changes in Social Security in order to put that system on a healthier financial basis. Let me ask you about some of the major recommendations that were made and that Congress is now considering. Do you favor or oppose (READ EACH ITEM)? Item: Requiring self-employed people to pay the same amount into Social Security as is paid for everyone else (they now pay only 75% of what is paid for all others)",1
273,1983,0.5441679954528809,0.5576874017715454,0.5162706971168518,"It has been suggested that one way to reduce the size of the federal deficit would be to make some changes in the 10% across-the-board federal income tax cut due to take place this July. If the 10% tax cut takes place, the loss of federal revenues will cause the federal deficit to go higher. Would you favor or oppose? Item: Postponing the 10% federal income tax cut due in July",0
275,1983,0.4625937342643738,0.4585223793983459,0.4376623034477234,"It has been suggested that one way to reduce the size of the federal deficit would be to make some changes in the 10% across-the-board federal income tax cut due to take place this July. If the 10% tax cut takes place, the loss of federal revenues will cause the federal deficit to go higher. Would you favor or oppose? Item: Repealing the 10% federal income tax cut due in July",0
276,1983,0.4049668312072754,0.534538745880127,0.4481289982795715,"It has been suggested that one way to reduce the size of the federal deficit would be to make some changes in the 10% across-the-board federal income tax cut due to take place this July. If the 10% tax cut takes place, the loss of federal revenues will cause the federal deficit to go higher. Would you favor or oppose? Item: Allowing a 10% tax cut on only the first $47,000 of people’s income and no cut in taxes for income above that amount",0
277,1983,0.5866208076477051,0.5245112180709839,0.6077715158462524,"It has been suggested that one way to reduce the size of the federal deficit would be to make some changes in the 10% across-the-board federal income tax cut due to take place this July. If the 10% tax cut takes place, the loss of federal revenues will cause the federal deficit to go higher. Would you favor or oppose? Item: Allowing a 10% tax cut on only the first $39,000 of people’s income and no cut in taxes for income above that amount",0
278,1983,0.6570870280265808,0.5879275798797607,0.4996928572654724,Some leading Republicans and Democrats in Congress have suggested one way to cut the record federal deficit would be not to link the federal income tax to rises in the cost of living. These people say that linking automatically means a higher federal deficit as inflation goes up. Those in favor of linking say that people should not be put in a higher tax bracket when inflation has cut their purchasing power. Do you favor or oppose linking the federal income tax to the cost of living?,0
